,text,question_score,adjusted_question_score,from_bot,_created
410,Hi,,0.0,True,
411,My name is Baily.,,0.0,True,
412,I am good thanks.,,0.0,True,
413,Hello,,0.0,True,
414,Very well.,,0.0,True,
415,42,,0.0,True,
416,My name is Baily.,,0.0,True,
417,Hej,,0.0,True,
418,it depends,,0.0,True,
419,Whatever,,0.0,True,
420,Never seen one.,,0.0,True,
421,Hay,,0.0,True,
422,Baily.,,0.0,True,
423,Baily.,,0.0,True,
424,Doing all'aight.,,0.0,True,
425,Baily.,,0.0,True,
426,,,0.0,True,
427,Baily.,,0.0,True,
428,Whatever,,0.0,True,
429,Hay,,0.0,True,
430,My name is Baily.,,0.0,True,
431,Baily.,,0.0,True,
432,Hay,,0.0,True,
433,yes,,0.0,True,
434,42,,0.0,True,
435,Hay,,0.0,True,
436,Delightfull,,0.0,True,
437,My name is Baily.,,0.0,True,
438,Baily.,,0.0,True,
439,My name is Baily.,,0.0,True,
440,Baily.,,0.0,True,
441,Baily.,,0.0,True,
442,My name is Baily.,,0.0,True,
443,Baily.,,0.0,True,
444,Baily.,,0.0,True,
445,Hi,,0.0,True,
446,Baily.,,0.0,True,
447,Baily.,,0.0,True,
448,Baily.,,0.0,True,
449,Great!,,0.0,True,
450,Baily.,,0.0,True,
451,Hello,,0.0,True,
452,haha,,0.0,True,
453,Very well.,,0.0,True,
454,maybe,,0.0,True,
455,it depends,,0.0,True,
456,My name is Baily.,,0.0,True,
457,I am good thanks.,,0.0,True,
458,Too cool for school.,,0.0,True,
459,yeah,,0.0,True,
460,Delightfull,,0.0,True,
461,yes,,0.0,True,
462,no,,0.0,True,
463,156 fifth ave in NYC.,,0.0,True,
464,it depends,,0.0,True,
465,Here and there.,,0.0,True,
466,Hi,,0.0,True,
467,Doing all'aight.,,0.0,True,
468,My name is Baily.,,0.0,True,
469,Hi,,0.0,True,
470,Baily.,,0.0,True,
471,I am good thanks.,,0.0,True,
472,no,,0.0,True,
473,Hello,,0.0,True,
474,I am good thanks.,,0.0,True,
